,index,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15
10,2132,0.6860477328300476,-1.0602586269378662,-67.34976720320218,0.902578203174564,-18.240532473613577,7.991391808992318,-21.93282166622882,26.012573590687886,16.21945247721297,-0.5325466351175504,-3.3037495577362987,-1.1832719506652127,18.14681082475213,-32.942396910206924,-12.409457328716977,47.929778493436295,21.433080115977642,36.54105683329866,-34.878984042330515
11,1369,0.09184408187866211,-1.821771502494812,-97.90730732013992,2.2245372033380217,-5.1432214960300255,21.488110243054095,7.712145328442843,0.25215817715230104,27.211042787621064,-2.1713973288722412,-8.36073099168418,-4.108921261406872,-14.351036277380219,11.270026646762087,-6.98421944977259,43.75140024712377,49.17635755246984,28.867319102306674,8.307491057772532
12,1419,0.12112255394458771,-1.8023476600646973,-100.066334587011,2.7611095477474854,-5.685712354230016,22.012957467651994,8.003304937348123,0.5268042749038195,28.280437395107455,-3.0744197052759485,-8.216382221192617,-5.02927618926453,-15.539832338075918,11.652882206865218,-7.427273537342611,44.370304723183025,51.51730151666196,28.040817064892348,8.571320304728392
13,2008,0.6242439150810242,-2.485161304473877,-241.65817797290526,-18.382488971174354,3.0328379074171252,1.9445053181316054,3.8494907940893537,-16.273892599119463,-10.758062508078488,-1.4305462658387542,-7.371327853647277,-12.573302346204358,1.2233590810905464,0.13016281596362506,-4.608087325836513,1.3526321253241087,16.676314015064552,13.888964311416805,-14.652784324159821
14,2483,0.9858741760253906,-0.9689846038818359,-68.57244210000565,-5.835585778383464,-24.457980968765007,9.13129492869603,-17.155865927687238,-4.431794297471961,-5.918958786363779,0.09520178643830524,-17.706788700886854,-4.082506525949817,-3.098846831157605,-9.051319782932007,-17.738991547979843,20.98034387456075,4.3013879667984245,11.78053245526715,-7.587958264475616
15,2497,0.9858245849609375,-0.156215637922287,-74.46274144371134,-7.497449000018786,-26.599762234662286,4.567458781215841,-18.881579771420547,-1.8975548294944562,-2.561412389101461,1.0802465870121358,-19.14919947327883,-6.9066808225386,-2.764474002261917,-9.421944019410374,-17.544393785614098,20.92192332950672,6.446581042055039,8.898858891130102,-6.81904461917561
16,1674,0.3215736448764801,-1.5515297651290894,-100.92146869436782,-8.360964800471924,-3.0757336453654776,8.22128381455374,-0.9213193123906369,-6.140771725557779,-29.330407014511998,-3.4747086429199046,3.081209923316533,-14.8558877054958,2.5954095556869152,-10.83042706744961,-5.176435835970278,-0.5421960847357281,7.415580939837091,11.160913825418787,-36.77210594616818
17,1519,0.2222227156162262,-1.8056191205978394,-110.09356977212573,8.702814563059517,-8.593329613695076,17.423200652676535,10.074535827183878,8.453533495605726,27.01801328462385,-1.5007366319646038,-7.416037739969509,-4.0160095909144715,-20.703047942110747,5.346627350126071,-7.501711628787057,49.27318212875131,43.019095786813345,24.357223452846412,7.755169769304975
18,2167,0.7484632730484009,-1.9768621921539307,-121.92810533173613,-18.44362935772719,1.8822335267082124,2.1196772932386363,-2.941458968945194,-18.224041755436208,-9.854557812477807,-2.881538669729434,-10.671308398211279,-11.654980843256368,1.5500325329386746,0.6863205734519274,-5.1289420543997055,1.836896388495595,12.172224247034674,15.772948278276377,-21.8028501342848
19,1418,0.1377967894077301,-1.8930760622024536,19.54816527561833,9.470494436351604,-3.7443308411946603,39.80642633120782,7.816191793510695,-2.866466051272248,15.652155524016278,-10.107846828353583,-8.870064884276843,15.154238738349774,-6.460648457740914,-11.921482631902979,-26.986608700659314,39.47870407418888,39.56584757664277,14.694163925017394,16.621797970007645
20,1569,0.2764716148376465,-1.8057987689971924,-59.962131076447115,-19.526913725331326,2.5101676341695707,3.650250743112613,1.9024978685239557,-23.716101470916914,-11.87014127496115,-0.6171778538630515,-9.578665862042278,-14.255333434604069,-0.07764753848383266,-2.9234317563137773,-3.5538175373833987,-3.7535057106143555,14.096012397137384,16.84220534584166,-18.463022045991195
21,1363,0.08945350348949432,-2.1615912914276123,-141.53977704355856,0.08185910893239615,-4.1431223165953,22.108347810879724,8.073750185248246,5.0309368660810705,15.215217263839776,8.318616789799377,-7.109080961154536,4.519576747114654,-4.505675566012877,-3.9529593825009925,-0.9419581023885826,42.246317973274174,47.480675595579896,11.780283713719799,11.106244983722261
22,1521,0.20329341292381287,-1.7245506048202515,-98.81298752824456,1.9323150286597452,-14.597944954756624,30.07519444493391,13.854979948065424,20.756585572440407,28.552414614540293,-1.7488627251350426,-5.095228955580832,-11.814885475159604,-30.321504993019357,5.228681191620957,-9.096731201381296,50.08610330776367,37.472241431374705,30.477433494859483,11.222550973611856
23,2486,0.9680654406547546,-0.8150597810745239,-64.7541878753407,-6.110697320430899,-20.708380032872384,7.305084735383698,-17.660857096178425,-5.492519449519538,-8.475596886057899,2.52986318695997,-20.113926969983584,-3.68103914588126,-1.0227311929077305,-11.707843291343542,-19.07948738267224,14.249285372582971,3.0313189966990115,9.413262042641252,-6.1441253084998415
24,1633,0.28485116362571716,-1.0150305032730103,-9.877159598658238,-5.41596828284729,-4.323688648753095,-0.8170513522619351,-4.532565669418305,0.7752347072151552,-2.0247257782154384,0.6200269932417477,-1.6510400203592086,-4.4013839391306275,2.305636381805991,-4.782464561026529,-0.34540714810670314,1.6187867940286393,1.0792059837065082,-1.099010108091127,2.552774820854715
25,2488,0.9658918380737305,-0.7191352844238281,-83.25252329106598,-2.995761287513083,-16.084760502408393,15.15868808344636,-7.408195138268533,-6.9418157894660615,-15.248568038715984,-0.6457687104279783,-5.309929230659403,-9.262748879644992,-3.0477767133766807,-7.404640123939919,-25.78863352113237,21.57566092778892,10.210181531406889,10.003436232636401,-24.492458973747294
26,2470,1.0041313171386719,-1.7575346231460571,-194.40481799692822,17.91955704279616,-4.485598418181623,27.079742693601368,1.8294362835705464,1.0369543124609846,19.27512833682273,15.701625638478742,-5.0541512579128085,9.01308507593223,-0.49372292699778864,-2.625820327338163,-2.9058461180123234,38.686248311742816,51.39720948710569,3.799168863703531,6.641254687430804
27,2128,0.6883112192153931,-1.3101871013641357,-134.36819278963054,-6.7911290005601135,-1.539845846836156,7.841925436576591,-1.0267258916274165,-9.408070644894055,-25.228942956629854,-6.2608882467508975,1.6650241186356032,-12.689034999883146,3.6706250367526607,-9.072153769263261,-9.58844773053389,-0.6215381874342217,9.206167157339394,9.79575773463997,-36.757976799218106
28,1314,0.06052665784955025,-2.1192219257354736,-131.71256870462452,0.047691092049743644,-4.033766754933377,23.771093662303745,8.187808352031544,5.430346055405334,16.927873256657147,8.039984352572,-5.399890347349762,5.843501630534039,-6.068747548802018,-4.5747567175355845,-2.034989948891808,42.87622201804451,47.55403715323584,14.32112188819257,9.550389714917312
29,1570,0.2540624737739563,-1.7762997150421143,-0.6119759063300734,-17.265444032296717,0.38963764799130685,4.4686058185515,-4.884887318498197,-13.042442370517636,-11.11758172176571,-2.806422659774278,11.354202291496636,-0.6458567708966032,2.2214614403750383,-18.653377006204007,3.2358116646644266,15.47358320219327,9.91584539638556,-2.580972349481664,2.5480294444405494
30,7,-1.0050233602523804,-2.535753011703491,-306.9390094844844,6.040278467945994,-0.38072525588224393,24.416746522368772,11.12161789703299,-0.5093480545957203,26.77863428483126,0.4569637550440615,-8.889487725587895,-3.1909661127074673,-7.90548457479716,11.642982554392079,-8.862743296757333,45.11403083557146,53.53854948902019,22.656062372647433,11.027486435460478
31,1136,-0.0967165008187294,-0.8044252991676331,-5.856040531468807,-3.7831657932024214,0.1507705326166921,8.167465857227999,-7.925910244562903,-4.909205916013929,-0.3432973156240186,-5.1877864434722145,-5.296177533147425,-6.294985626271571,-8.924599777335004,-6.600453541870583,-6.9523198283769805,7.461951303044448,4.40646209324207,8.051949910575754,0.9132996534229579
32,1318,0.057218171656131744,-1.8750075101852417,-101.94845372293832,1.6186208033426623,-4.718929356034247,22.01311188508965,8.41900177785379,-0.7806999907793538,26.549371209664542,-1.302327401786143,-11.546960626153961,-5.3620813104856975,-14.100931457215344,9.494288103700365,-7.963033188728728,43.08005148508359,52.74352593218329,27.348783238707213,7.206869334677119
33,28,-1.0011593103408813,-1.2902717590332031,-163.51188681259572,12.341953036996284,-0.47681742985206554,4.942287791723871,-18.446236572199524,9.38595750360456,3.7406684820284517,7.184434991074324,-4.109409353473907,-6.178857588753052,-10.111116059355775,-2.5170152777575936,-7.299810184669289,28.434377730362947,-1.773275416918472,14.237163866499829,0.8915827248727193
